Recorte;Código IBGE;Município;Unidade de Gerenciamento de Recursos Hídricos (UGRHI) ;Região Administrativa;Região de Governo;Região Metropolitana;Aglomerações Urbanas
EMPLASA;3509700;Campos do Jordão;01 - Mantiqueira;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA;3548203;Santo Antônio do Pinhal;01 - Mantiqueira;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA;3548609;São Bento do Sapucaí;01 - Mantiqueira;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3502507;Aparecida;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de Guaratinguetá;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA;3503158;Arapeí;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de Cruzeiro;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3503505;Areias;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de Cruzeiro;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA;3504909;Bananal;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de Cruzeiro;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3508504;Caçapava;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3508603;Cachoeira Paulista;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de Guaratinguetá;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3509957;Canas;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de Guaratinguetá;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3513405;Cruzeiro;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de Cruzeiro;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA;3513603;Cunha;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de Guaratinguetá;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3518305;Guararema;02 - Paraíba do Sul;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3518404;Guaratinguetá;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de Guaratinguetá;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3520202;Igaratá;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3524402;Jacareí;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3524907;Jambeiro;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
EMPLASA e DAEE;3526308;Lagoinha;02 - Paraíba do Sul;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;-
